User ID,Site Code,Display Name,Rank,Role,City,Province,Role,Region,Branch
5045,5045,5045 - EIGER Adventure Store Plaza Medan Fair Medan,5045 - EIGER Adventure Store Plaza Medan Fair Medan Store Head,Store,KOTA MEDAN,SUMATERA UTARA,Store,REGION 3,SUMATERA 3
2212,2212,2212 - EIGER Adventure Store Kemang Kebayoran Baru,2212 - EIGER Adventure Store Kemang Kebayoran Baru Store Head,Store,KOTA JAKARTA SELATAN,DKI JAKARTA,Store,REGION 1,DKI 1
2119,2119,2119 - EIGER Adventure Store Otto Iskandardinata Subang,2119 - EIGER Adventure Store Otto Iskandardinata Subang Store Head,Store,KABUPATEN SUBANG,JAWA BARAT,Store,REGION 2,JAWA BARAT 4
5163,5163,5163 - EIGER Adventure Store Citraland Mall Grogol Petamburan,5163 - EIGER Adventure Store Citraland Mall Grogol Petamburan Store Head,Store,KOTA JAKARTA BARAT,DKI JAKARTA,Store,REGION 1,DKI 1
2388,2388,2388 - EIGER Adventure Store Mangkunegara Palembang,2388 - EIGER Adventure Store Mangkunegara Palembang Store Head,Store,KOTA PALEMBANG,SUMATERA SELATAN,Store,REGION 2,SUMATERA 1
2039,2039,2039 - EIGER Adventure Store Simanjuntak Yogyakarta,2039 - EIGER Adventure Store Simanjuntak Yogyakarta Store Head,Store,KOTA YOGYAKARTA,DIY,Store,REGION 3,JAWA TENGAH 1
2436,2436,2436 - Eiger Adventure Store Condet Jakarta,2436 - Eiger Adventure Store Condet Jakarta Store Head,Store,KOTA JAKARTA TIMUR,DKI JAKARTA,Store,REGION 1,DKI 2
2210,2210,2210 - EIGER Adventure Flagship Store Soekarno Surabaya,2210 - EIGER Adventure Flagship Store Soekarno Surabaya Store Head,Store,KOTA SURABAYA,JAWA TIMUR,Store,REGION 4,JAWA TIMUR 1
2043,2043,2043 - EIGER Adventure Store HM Joyo Martono Bekasi,2043 - EIGER Adventure Store HM Joyo Martono Bekasi Store Head,Store,KOTA BEKASI,JAWA BARAT,Store,REGION 1,DKI 2
2190,2190,2190 - EIGER Adventure Store Bintaro Utama Tangerang,2190 - EIGER Adventure Store Bintaro Utama Tangerang Store Head,Store,KOTA TANGERANG SELATAN,BANTEN,Store,REGION 1,DKI 3
2203,2203,2203 - EIGER Adventure Store Jatiwaringin Bekasi,2203 - EIGER Adventure Store Jatiwaringin Bekasi Store Head,Store,KOTA BEKASI,JAWA BARAT,Store,REGION 1,DKI 2
5184,5184,5184 - EIGER Adventure Store The Grand Outlet Karawang,5184 - EIGER Adventure Store The Grand Outlet Karawang Store Head,Store,KABUPATEN KARAWANG,JAWA BARAT,Store,REGION 2,JAWA BARAT 4
2116,2116,2116 - EIGER Adventure Store Cokroaminoto Tangerang,2116 - EIGER Adventure Store Cokroaminoto Tangerang Store Head,Store,KOTA TANGERANG,BANTEN,Store,REGION 1,DKI 3
2118,2118,2118 - EIGER Adventure Store Taman Siswa Yogyakarta,2118 - EIGER Adventure Store Taman Siswa Yogyakarta Store Head,Store,KOTA YOGYAKARTA,DIY,Store,REGION 3,JAWA TENGAH 1
5074,5074,5074 - EIGER Adventure Store TangCity Tangerang,5074 - EIGER Adventure Store TangCity Tangerang Store Head,Store,KOTA TANGERANG,BANTEN,Store,REGION 1,DKI 3
2414,2414,2414 - EIGER Adventure Store A Yani Bengkalis,2414 - EIGER Adventure Store A Yani Bengkalis Store Head,Store,KABUPATEN BENGKALIS,RIAU,Store,REGION 3,SUMATERA 2
2066,2066,2066 - EIGER Adventure Store A.Yani Banyuwangi,2066 - EIGER Adventure Store A.Yani Banyuwangi Store Head,Store,KABUPATEN BANYUWANGI,JAWA TIMUR,Store,REGION 4,JAWA TIMUR 2
2049,2049,2049 - EIGER Adventure Store Panglima Sudirman Gresik,2049 - EIGER Adventure Store Panglima Sudirman Gresik Store Head,Store,KABUPATEN GRESIK,JAWA TIMUR,Store,REGION 4,JAWA TIMUR 3
2201,2201,2201 - EIGER Adventure Store Soekarno Hatta Kendal,2201 - EIGER Adventure Store Soekarno Hatta Kendal Store Head,Store,KABUPATEN KENDAL,JAWA TENGAH,Store,REGION 3,JAWA TENGAH 2
2207,2207,2207 - EIGER Adventure Store Kondang Majalaya Bandung,2207 - EIGER Adventure Store Kondang Majalaya Bandung Store Head,Store,KABUPATEN BANDUNG,JAWA BARAT,Store,REGION 2,JAWA BARAT 4
2421,2421,2421-EIGER Store Jen Sudirman Semarang,2421-EIGER Store Jen Sudirman Semarang Store Head,Store,KOTA SEMARANG,JAWA TENGAH,Store,REGION 3,JAWA TENGAH 2
2184,2184,2184 - EIGER Adventure Store KH Abdulah Cianjur,2184 - EIGER Adventure Store KH Abdulah Cianjur Store Head,Store,KABUPATEN CIANJUR,JAWA BARAT,Store,REGION 2,JAWA BARAT 4
2261,2261,2261 - EIGER Adventure Store MT Haryono Kendari,2261 - EIGER Adventure Store MT Haryono Kendari Store Head,Store,KOTA KENDARI,SULAWESI TENGGARA,Store,REGION 5,IBT 2
2036,2036,2036 - EIGER Adventure Store Basuki Rahmat Surabaya,2036 - EIGER Adventure Store Basuki Rahmat Surabaya Store Head,Store,KOTA SURABAYA,JAWA TIMUR,Store,REGION 4,JAWA TIMUR 1
2283,2283,2283 - EIGER Adventure Store A.Yani Serang,2283 - EIGER Adventure Store A.Yani Serang Store Head,Store,KOTA SERANG,BANTEN,Store,REGION 1,DKI 3
2053,2053,2053 - EIGER Adventure Store Slamet Riyadi Surakarta,2053 - EIGER Adventure Store Slamet Riyadi Surakarta Store Head,Store,KOTA SURAKARTA,JAWA TENGAH,Store,REGION 3,JAWA TENGAH 1
7013,7013,7013 - EIGER Adventure Store Raya Klari Karawang,7013 - EIGER Adventure Store Raya Klari Karawang Store Head,Store,KABUPATEN KARAWANG,JAWA BARAT,Store,REGION 2,JAWA BARAT 4
7012,7012,7012 - EIGER Adventure Store Cimanuk Pedes Garut,7012 - EIGER Adventure Store Cimanuk Pedes Garut Store Head,Store,KABUPATEN GARUT,JAWA BARAT,Store,REGION 2,JAWA BARAT 3
5036,5036,5036 - EIGER Adventure Store Karawang Ctr Plaza Karawang,5036 - EIGER Adventure Store Karawang Ctr Plaza Karawang Store Head,Store,KABUPATEN KARAWANG,JAWA BARAT,Store,REGION 2,JAWA BARAT 4
7025,7025,7025 - EIGER Adventure Store Kertabumi Karawang,7025 - EIGER Adventure Store Kertabumi Karawang Store Head,Store,KABUPATEN KARAWANG,JAWA BARAT,Store,REGION 2,JAWA BARAT 4
2068,2068,2068 - EIGER Adventure Flagship Store Jatinangor Sumedang,2068 - EIGER Adventure Flagship Store Jatinangor Sumedang Store Head,Store,KABUPATEN SUMEDANG,JAWA BARAT,Store,REGION 2,JAWA BARAT 3
7008,7008,7008 - EIGER Adventure Store Kawi Kepanjen Malang,7008 - EIGER Adventure Store Kawi Kepanjen Malang Store Head,Store,KABUPATEN MALANG,JAWA TIMUR,Store,REGION 4,JAWA TIMUR 2
5042,5042,5042 - EIGER Adventure Store Malang Olympic Garden Malang,5042 - EIGER Adventure Store Malang Olympic Garden Malang Store Head,Store,KOTA MALANG,JAWA TIMUR,Store,REGION 4,JAWA TIMUR 2
7003,7003,7003 - EIGER Adventure Store A.Yani Cilacap,7003 - EIGER Adventure Store A.Yani Cilacap Store Head,Store,KABUPATEN CILACAP,JAWA TENGAH,Store,REGION 3,JAWA TENGAH 2
2348,2348,2348 - EIGER Adventure Store Mojosari Mojokerto,2348 - EIGER Adventure Store Mojosari Mojokerto Store Head,Store,KABUPATEN MOJOKERTO,JAWA TIMUR,Store,REGION 4,JAWA TIMUR 3
7017,7017,7017 - EIGER Adventure Store Ahmad Dahlan Purworejo,7017 - EIGER Adventure Store Ahmad Dahlan Purworejo Store Head,Store,KABUPATEN PURWOREJO,JAWA TENGAH,Store,REGION 3,JAWA TENGAH 1
