Short branch name,Branch,Region,Klasifikasi Liga 2024,"Klasifikasi Liga 2025, W1","Klasifikasi Liga 2025, W2","Klasifikasi Liga 2025, AVG Score",LIGA 2026
2056 - EIGER Adventure Store Setiabudi Medan,SUMATERA 3,REGION 3,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
7040 - EIGER Adventure Store Panglima Polem Banda Aceh,SUMATERA 3,REGION 3,GOLD,SILVER,BRONZE,BRONZE,BRONZE
7047 - EIGER Adventure Store A.Yani Magelang,JAWA TENGAH 1,REGION 3,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
5014 - EIGER Adventure Store Botani Square Bogor,DKI 4,REGION 1,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2065 - EIGER Adventure Store Juanda Ciputat Tangerang,DKI 3,REGION 1,SILVER,BRONZE,SILVER,BRONZE,BRONZE
2121 - EIGER Adventure Store Gatot Subroto Denpasar,IBT 3,REGION 5,SILVER,BRONZE,SILVER,BRONZE,BRONZE
2385 - EIGER Adventure Store Tanah Hitam Abepura Jayapura,IBT 4,REGION 5,RISING STAR,BRONZE,BRONZE,BRONZE,BRONZE
7015 - EIGER Adventure Store Ruko AR Hakim Square Tegal,JAWA TENGAH 2,REGION 3,RISING STAR,BRONZE,BRONZE,BRONZE,BRONZE
2398 - EIGER Adventure Flagship Store Manyar 2 Surabaya,JAWA TIMUR 1,REGION 4,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
7037 - EIGER Adventure Store Martadinata Manado,IBT 4,REGION 5,SILVER,SILVER,BRONZE,BRONZE,BRONZE
5048 - EIGER Adventure Store Palembang Square Pelembang,SUMATERA 1,REGION 2,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2349 - EIGER Adventure Store Kayu Agung Indralaya,SUMATERA 1,REGION 2,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2185 - EIGER Adventure Store Jen.Sudirman Purbalingga,JAWA TENGAH 2,REGION 3,RISING STAR,BRONZE,BRONZE,BRONZE,BRONZE
2280 - EIGER Adventure Store Tanjung,IBT 1,REGION 5,SILVER,SILVER,BRONZE,BRONZE,BRONZE
2239 - EIGER Adventure Store Siliwangi Cibadak Sukabumi,JAWA BARAT 4,REGION 2,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2344 - EIGER Adventure Store Akses UI Depok,DKI 4,REGION 1,BRONZE,BRONZE,SILVER,BRONZE,BRONZE
2268 - EIGER Adventure Store A.Yani Bone Watampone,IBT 2,REGION 5,BRONZE,BRONZE,SILVER,BRONZE,BRONZE
2367 - EIGER Adventure Store Pinang Ranti Cakung,DKI 2,REGION 1,GOLD,SILVER,BRONZE,BRONZE,BRONZE
2024 - EIGER Adventure Store Cak Doko Kupang,IBT 3,REGION 5,SILVER,BRONZE,SILVER,BRONZE,BRONZE
2276 - EIGER Adventure Store A.Yani Blora,JAWA TENGAH 2,REGION 3,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2368 - EIGER Adventure Store Gunung Krakatau Medan,SUMATERA 3,REGION 3,BRONZE,BRONZE,GOLD,BRONZE,SILVER
2224 - EIGER Adventure Store Ngaliyan Semarang,JAWA TENGAH 2,REGION 3,SILVER,BRONZE,SILVER,BRONZE,BRONZE
2032 - EIGER Adventure Store Katamso Semarang,JAWA TENGAH 2,REGION 3,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2228 - EIGER Adventure Store Perintis Makassar,IBT 2,REGION 5,RISING STAR,BRONZE,SILVER,BRONZE,BRONZE
2119 - EIGER Adventure Store Otto Iskandardinata Subang,JAWA BARAT 4,REGION 2,RISING STAR,GOLD,BRONZE,BRONZE,SILVER
2025 - EIGER Adventure Store Kol.Mahardi Madiun,JAWA TIMUR 3,REGION 4,SILVER,BRONZE,SILVER,BRONZE,BRONZE
5025 - EIGER Adventure Store Mall Atrium Tanah Abang,DKI 1,REGION 1,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
7039 - EIGER Adventure Store Hasanuddin Samarinda,DKI 4,REGION 1,SILVER,SILVER,BRONZE,BRONZE,BRONZE
7003 - EIGER Adventure Store A.Yani Cilacap,JAWA TENGAH 2,REGION 3,BRONZE,BRONZE,GOLD,BRONZE,SILVER
2332 - EIGER Adventure Store Canggu Mengwi,IBT 3,REGION 5,RISING STAR,BRONZE,BRONZE,BRONZE,BRONZE
2376 - EIGER Adventure Store S.Parman Malang,JAWA TIMUR 2,REGION 4,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2118 - EIGER Adventure Store Taman Siswa Yogyakarta,JAWA TENGAH 1,REGION 3,GOLD,BRONZE,BRONZE,BRONZE,BRONZE
2284 - EIGER Adventure Store TDM Kupang,IBT 3,REGION 5,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
2104 - EIGER Adventure Store Sutomo PematangSiantar,SUMATERA 3,REGION 3,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
5074 - EIGER Adventure Store TangCity Tangerang,DKI 3,REGION 1,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2022 - EIGER Adventure Store Buaran Cakung,DKI 2,REGION 1,RISING STAR,BRONZE,SILVER,BRONZE,BRONZE
7023 - EIGER Adventure Store Slamet Riyadi Samarinda,IBT 1,REGION 5,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
2116 - EIGER Adventure Store Cokroaminoto Tangerang,DKI 3,REGION 1,GOLD,BRONZE,BRONZE,BRONZE,BRONZE
2302 - EIGER Adventure Store Juanda Karawang,JAWA BARAT 4,REGION 2,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2348 - EIGER Adventure Store Mojosari Mojokerto,JAWA TIMUR 3,REGION 4,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
5158 - EIGER Adventure Store Bandara Soetta Tangerang,DKI 3,REGION 1,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2244 - EIGER Adventure Store A.Yani Balikpapan,IBT 1,REGION 5,BRONZE,BRONZE,SILVER,BRONZE,BRONZE
2291 - EIGER Adventure Store Jen.Sudirman Muara Enim,SUMATERA 1,REGION 2,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
2067 - EIGER Adventure Store Salemba Tanah Abang,DKI 1,REGION 1,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
7043 - EIGER Adventure Store Pahlawan Revolusi Ternate,IBT 4,REGION 5,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
2300 - EIGER Adventure Store Leo Watimena Ambon,IBT 4,REGION 5,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
2204 - EIGER Adventure Store Siliwangi Pamulang Tangerang,DKI 3,REGION 1,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
2259 - EIGER Adventure Store MT Haryono Temanggung,JAWA TENGAH 1,REGION 3,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2236 - EIGER Adventure Store H.Ashari Cipondoh Tangerang,DKI 3,REGION 1,BRONZE,BRONZE,GOLD,BRONZE,SILVER
