Short branch name,Branch,Region,Klasifikasi Liga 2024,"Klasifikasi Liga 2025, W1","Klasifikasi Liga 2025, W2","Klasifikasi Liga 2025, AVG Score",LIGA 2026
2178 - EIGER Adventure Store Jati Asih Bekasi,DKI 2,REGION 1,GOLD,SILVER,GOLD,SILVER,SILVER
7026 - EIGER Adventure Store Kopo Bihbul Bandung,JAWA BARAT 4,REGION 2,GOLD,SILVER,GOLD,SILVER,SILVER
2303 - EIGER Adventure Store Pemuda Rembang,JAWA TENGAH 2,REGION 3,SILVER,SILVER,GOLD,SILVER,SILVER
2345 - EIGER Adventure Store HB Yasin Gorontalo,IBT 4,REGION 5,BRONZE,BRONZE,GOLD,SILVER,SILVER
2351 - EIGER Adventure Store SM Raja Balige,SUMATERA 3,REGION 3,SILVER,BRONZE,GOLD,SILVER,SILVER
2049 - EIGER Adventure Store Panglima Sudirman Gresik,JAWA TIMUR 3,REGION 4,BRONZE,BRONZE,GOLD,SILVER,SILVER
2009 - EIGER Adventure Store Setiabudhi Bandung,JAWA BARAT 1,REGION 2,BRONZE,BRONZE,GOLD,SILVER,SILVER
2328 - EIGER Adventure Store Parung Depok,DKI 4,REGION 1,GOLD,SILVER,GOLD,SILVER,SILVER
2265 - EIGER Adventure Store Hankam Bekasi,DKI 2,REGION 1,SILVER,BRONZE,GOLD,SILVER,SILVER
2123 - EIGER Adventure Store Marelan Medan,SUMATERA 3,REGION 3,GOLD,BRONZE,GOLD,SILVER,SILVER
2260 - EIGER Adventure Store Pahlawan Kusuma Kediri,JAWA TIMUR 3,REGION 4,GOLD,BRONZE,GOLD,SILVER,SILVER
7030 - EIGER Adventure Store Sumur Putih Pamekasan,JAWA TIMUR 1,REGION 4,SILVER,SILVER,SILVER,SILVER,SILVER
2346 - EIGER Adventure Store Ruko Gateway Waru Sidoarjo,JAWA TIMUR 1,REGION 4,GOLD,SILVER,GOLD,SILVER,SILVER
2279 - EIGER Adventure Store Simpang Empat Bireuen,SUMATERA 3,REGION 3,SILVER,GOLD,BRONZE,SILVER,SILVER
7034 - EIGER Adventure Store Yos Sudarso Nganjuk,JAWA TIMUR 3,REGION 4,GOLD,SILVER,SILVER,SILVER,SILVER
2318 - EIGER Adventure Store Diponegoro Brebes,JAWA TENGAH 2,REGION 3,SILVER,BRONZE,GOLD,SILVER,SILVER
2094 - EIGER Adventure Store Abdul Halim Majalengka,JAWA BARAT 3,REGION 2,BRONZE,GOLD,BRONZE,SILVER,SILVER
7013 - EIGER Adventure Store Raya Klari Karawang,JAWA BARAT 4,REGION 2,SILVER,BRONZE,GOLD,SILVER,SILVER
7042 - EIGER Adventure Store Perintis Daya Makassar,IBT 2,REGION 5,GOLD,BRONZE,GOLD,SILVER,SILVER
2205 - EIGER Adventure Store Jen.Sudirman Bengkalis,SUMATERA 2,REGION 3,SILVER,SILVER,GOLD,SILVER,SILVER
2226 - EIGER Adventure Store Andi Makkasar Pare Pare,IBT 2,REGION 5,SILVER,SILVER,SILVER,SILVER,SILVER
7036 - EIGER Adventure Store MT Haryono Balikpapan,IBT 1,REGION 5,SILVER,SILVER,SILVER,SILVER,SILVER
7014 - EIGER Adventure Store Soekarno Solo Baru Sukoharjo,JAWA TENGAH 1,REGION 3,SILVER,BRONZE,GOLD,SILVER,SILVER
2003 - EIGER Adventure Store Pelajar Pejuang Bandung,JAWA BARAT 2,REGION 2,SILVER,BRONZE,GOLD,SILVER,SILVER
2036 - EIGER Adventure Store Basuki Rahmat Surabaya,JAWA TIMUR 1,REGION 4,GOLD,BRONZE,GOLD,SILVER,SILVER
5017 - EIGER Adventure Store Grage Mall Cirebon,JAWA BARAT 3,REGION 2,BRONZE,SILVER,GOLD,SILVER,SILVER
5165 - EIGER Adventure Store Summarecon Mall Bandung,JAWA BARAT 2,REGION 2,GOLD,SILVER,GOLD,SILVER,SILVER
2321 - EIGER Adventure Store Sipin Jambi,SUMATERA 2,REGION 3,BRONZE,GOLD,BRONZE,SILVER,SILVER
7025 - EIGER Adventure Store Kertabumi Karawang,JAWA BARAT 4,REGION 2,BRONZE,GOLD,BRONZE,SILVER,SILVER
2203 - EIGER Adventure Store Jatiwaringin Bekasi,DKI 2,REGION 1,BRONZE,BRONZE,GOLD,SILVER,SILVER
2261 - EIGER Adventure Store MT Haryono Kendari,IBT 2,REGION 5,SILVER,GOLD,SILVER,SILVER,SILVER
7007 - EIGER Adventure Store Panglima Sudirman Lumajang,JAWA TIMUR 2,REGION 4,SILVER,BRONZE,GOLD,SILVER,SILVER
2307 - EIGER Adventure Store Tambun City Bekasi,DKI 2,REGION 1,SILVER,SILVER,SILVER,SILVER,SILVER
2212 - EIGER Adventure Store Kemang Kebayoran Baru,DKI 1,REGION 1,BRONZE,SILVER,SILVER,SILVER,SILVER
2039 - EIGER Adventure Store Simanjuntak Yogyakarta,JAWA TENGAH 1,REGION 3,SILVER,SILVER,GOLD,SILVER,SILVER
2069 - EIGER Adventure Store Karimata Jember,JAWA TIMUR 2,REGION 4,SILVER,BRONZE,GOLD,SILVER,SILVER
2002 - EIGER Adventure Flagship Store Sumatera Bandung,JAWA BARAT 2,REGION 2,GOLD,SILVER,SILVER,SILVER,SILVER
2308 - EIGER Adventure Store Akhmad Muksin Tenggarong,IBT 1,REGION 5,SILVER,SILVER,SILVER,SILVER,SILVER
5056 - EIGER Adventure Store Citraland Mall Semarang,JAWA TENGAH 2,REGION 3,GOLD,SILVER,SILVER,SILVER,SILVER
7012 - EIGER Adventure Store Cimanuk Pedes Garut,JAWA BARAT 3,REGION 2,BRONZE,SILVER,SILVER,SILVER,SILVER
2100 - EIGER Adventure Store Jen.Sudirman Kuningan,JAWA BARAT 3,REGION 2,BRONZE,BRONZE,GOLD,SILVER,SILVER
2397 - EIGER Tactical Store Sumatera Bandung,JAWA BARAT 2,REGION 2,SILVER,BRONZE,GOLD,SILVER,SILVER
2305 - EIGER Adventure Store Lembang Bandung Barat,JAWA BARAT 4,REGION 2,BRONZE,BRONZE,GOLD,SILVER,SILVER
2264 - EIGER Adventure Store Pemuda Jepara,JAWA TENGAH 2,REGION 3,BRONZE,BRONZE,GOLD,SILVER,SILVER
2180 - EIGER Adventure Store Dramaga Bogor,DKI 4,REGION 1,SILVER,BRONZE,GOLD,SILVER,SILVER
2159 - EIGER Adventure Store Soekarno Tabanan,IBT 3,REGION 5,BRONZE,SILVER,SILVER,SILVER,SILVER
2352 - EIGER Adventure Store A.Yani Martapura Banjar,IBT 1,REGION 5,SILVER,GOLD,BRONZE,SILVER,SILVER
2319 - EIGER Adventure Store Magelang Sleman,JAWA TENGAH 1,REGION 3,BRONZE,BRONZE,GOLD,SILVER,SILVER
2090 - EIGER Adventure Store Jen.Sudirman Purwakarta,JAWA BARAT 4,REGION 2,SILVER,BRONZE,GOLD,SILVER,SILVER
2306 - EIGER Adventure Store Lawu Cerbonan Karanganyar,JAWA TENGAH 1,REGION 3,GOLD,GOLD,BRONZE,SILVER,SILVER
2384 - EIGER Adventure Store Jembrana Negara,IBT 3,REGION 5,BRONZE,SILVER,BRONZE,SILVER,SILVER
2030 - EIGER Adventure Store Setiabudhi Semarang,JAWA TENGAH 2,REGION 3,GOLD,BRONZE,GOLD,SILVER,SILVER
2083 - EIGER Adventure Store Laode Hadi Kendari,IBT 2,REGION 5,GOLD,SILVER,SILVER,SILVER,SILVER
2045 - EIGER Adventure Store A.Yani Ambon,IBT 4,REGION 5,SILVER,SILVER,SILVER,SILVER,SILVER
2197 - EIGER Adventure Store Riau Pekanbaru,SUMATERA 2,REGION 3,SILVER,SILVER,SILVER,SILVER,SILVER
7028 - EIGER Adventure Store Wisma Asri Bekasi,DKI 2,REGION 1,GOLD,GOLD,BRONZE,SILVER,SILVER
2190 - EIGER Adventure Store Bintaro Utama Tangerang,DKI 3,REGION 1,BRONZE,BRONZE,GOLD,SILVER,SILVER
2011 - EIGER Adventure Store Amir Machmud Cimahi,JAWA BARAT 4,REGION 2,GOLD,SILVER,SILVER,SILVER,SILVER
2322 - EIGER Adventure Store Gajah Mada Maumere,IBT 3,REGION 5,GOLD,BRONZE,GOLD,SILVER,SILVER
7033 - EIGER Adventure Store Kol. Sunandar Pati,JAWA TENGAH 2,REGION 3,SILVER,BRONZE,GOLD,SILVER,SILVER
2219 - EIGER Adventure Store Raya Mastrip Surabaya,JAWA TIMUR 1,REGION 4,BRONZE,BRONZE,GOLD,SILVER,SILVER
2327 - EIGER Adventure Store Sukorejo Wonogiri,JAWA TENGAH 1,REGION 3,SILVER,BRONZE,GOLD,SILVER,SILVER
2054 - EIGER Adventure Flagship Store Radio Dalam Kebayoran Baru,DKI 1,REGION 1,SILVER,SILVER,BRONZE,SILVER,SILVER
2105 - EIGER Adventure Store Wachid Hasyim Pasuruan,JAWA TIMUR 2,REGION 4,GOLD,BRONZE,GOLD,SILVER,SILVER
2317 - EIGER Adventure Store Raya Manado Bitung,IBT 4,REGION 5,SILVER,BRONZE,SILVER,SILVER,SILVER
2018 - EIGER Adventure Flagship Store Sunset Road Mengwi,IBT 3,REGION 5,BRONZE,BRONZE,GOLD,SILVER,SILVER
2008 - EIGER Adventure Store Pajajaran Bogor,DKI 4,REGION 1,BRONZE,BRONZE,GOLD,SILVER,SILVER
2326 - EIGER Adventure Store Merdeka Lhokseumawe,SUMATERA 3,REGION 3,GOLD,BRONZE,GOLD,SILVER,SILVER
2246 - EIGER Adventure Store Sawojajar Malang,JAWA TIMUR 2,REGION 4,SILVER,SILVER,SILVER,SILVER,SILVER
2068 - EIGER Adventure Flagship Store Jatinangor Sumedang,JAWA BARAT 3,REGION 2,SILVER,BRONZE,GOLD,SILVER,SILVER
2186 - EIGER Adventure Store A.Yani Metro - Lampung,SUMATERA 1,REGION 2,SILVER,BRONZE,GOLD,SILVER,SILVER
2330 - EIGER Adventure Store Cemengkalang Sidoarjo,JAWA TIMUR 1,REGION 4,RISING STAR,BRONZE,GOLD,SILVER,SILVER
2365 - EIGER Adventure Store Cibinong Cibinong,DKI 4,REGION 1,BRONZE,SILVER,SILVER,SILVER,SILVER
2191 - EIGER Adventure Store Transyogi Cibubur Cibinong,DKI 4,REGION 1,SILVER,BRONZE,GOLD,SILVER,SILVER
2120 - EIGER Adventure Store Narogong Bekasi,DKI 2,REGION 1,SILVER,SILVER,BRONZE,SILVER,SILVER
5163 - EIGER Adventure Store Citraland Mall Grogol Petamburan,DKI 1,REGION 1,GOLD,BRONZE,GOLD,SILVER,SILVER
2057 - EIGER Adventure Store Damar Padang,SUMATERA 2,REGION 3,SILVER,SILVER,SILVER,SILVER,SILVER
